timeout_subtype,n,mean,std,sigma2_h0,sigma2_h1,glrt_stat,glrt_p,t_stat,t_p,ci_low,ci_high,crit,reject_h0,signif,metric,slice,streak_bucket,margin_bucket,time_bucket
challenge,1396,-0.11177899209702447,2.84020966852901,8.073507000726023,8.061012457651797,2.162120249482098,0.14144939336563978,-1.4704575681991314,0.1416633775612719,-0.2608979138483386,0.0373399296542897,3.8414588206941205,false,ns,excess_net_post,overall,,,
full,74236,-0.010752729380572678,2.9572973283430692,8.74560530124176,8.745489680052629,0.981442797685892,0.3218428620702638,-0.9906745503291333,0.3218477509050648,-0.03202642207480679,0.010520963313661433,3.8414588206941205,false,ns,excess_net_post,overall,,,
official_inferred,14538,-0.0029602612866380562,2.9591393950095513,8.755912403771475,8.75590364062459,0.01455001915205153,0.9039892859644364,-0.12061934175677153,0.9039942151799916,-0.05106605047656799,0.04514552790329187,3.8414588206941205,false,ns,excess_net_post,overall,,,
challenge,623,-0.24867817279951487,2.8233207244884406,8.020185979836747,7.958345146209841,4.822349615153675,0.028093025269471106,-2.198474714112109,0.02828285038789069,-0.4708096897146841,-0.026546655884345627,3.8414588206941205,true,*,excess_net_post,streak_bucket,calm,,
challenge,220,0.04532850446495659,2.728852646307941,7.414843089645876,7.412788416328846,0.060971050225738184,0.8049676869684059,0.24637840866207403,0.8056200942610094,-0.31726790483567535,0.4079249137655885,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down3-5,,
challenge,54,-0.3915708907961438,2.7701749699840286,7.685088434912936,7.531760672394051,1.0882646395273867,0.29685602869404937,-1.0387237892592283,0.3036489404694791,-1.1476831067852689,0.3645413251929812,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down6-9,,
challenge,362,0.008687827360674756,2.9323525945148488,8.575013924806749,8.5749384464625,0.0031863832653025656,0.9549848731166062,0.05637016131271785,0.9550781129004053,-0.2943999775260304,0.3117756322473799,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up3-5,,
challenge,103,0.1720739191557134,2.876180086292989,8.221706643910025,8.192097210256419,0.37161099299034644,0.5421274458603627,0.607180181454703,0.5450806271872992,-0.3900455524482063,0.7341933907596332,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up6-9,,
full,21588,-0.03146629680245674,2.96142588371964,8.770627146385253,8.769637018550792,2.4372357807201097,0.11848485321795954,-1.5611727838339637,0.1184976476660049,-0.07097266485522197,0.008040071250308499,3.8414588206941205,false,ns,excess_net_post,streak_bucket,calm,,
full,2834,0.015248236256274996,2.9345353954563342,8.608691858637693,8.608459349928765,0.07654340409252255,0.7820375130654864,0.2766178382752398,0.7820937449901095,-0.09283867479427557,0.12333514730682557,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down10+,,
